product_id,url
50,https://images-na.ssl-images-amazon.com/images/I/71u9wheBa-L._SX522_.jpg
51,https://images-na.ssl-images-amazon.com/images/I/81HCtcK5sjL._SX522_.jpg
52,https://images-na.ssl-images-amazon.com/images/I/81lWV9jlmeL._SY679_.jpg
53,"https://images-na.ssl-images-amazon.com/images/I/410vJDFkC3L._SX321_BO1,204,203,200_.jpg"
54,"https://images-na.ssl-images-amazon.com/images/I/51Df4YVLvbL._SX329_BO1,204,203,200_.jpg"
55,"https://images-na.ssl-images-amazon.com/images/I/51Nj5XqNjfL._SX322_BO1,204,203,200_.jpg"
56,"https://images-na.ssl-images-amazon.com/images/I/415cATz%2BxqL._SX326_BO1,204,203,200_.jpg"
57,"https://images-na.ssl-images-amazon.com/images/I/519Us5iuxLL._SX380_BO1,204,203,200_.jpg"
58,"https://images-na.ssl-images-amazon.com/images/I/51X7dEUFgoL._SX320_BO1,204,203,200_.jpg"
59,"https://images-na.ssl-images-amazon.com/images/I/51NzjhIhK0L._SX322_BO1,204,203,200_.jpg"
60,"https://images-na.ssl-images-amazon.com/images/I/51l3jMA9XqL._SX324_BO1,204,203,200_.jpg"
61,"https://images-na.ssl-images-amazon.com/images/I/51RjVdsqe5L._SX331_BO1,204,203,200_.jpg"
62,"https://images-na.ssl-images-amazon.com/images/I/511Lo1f6MXL._SX328_BO1,204,203,200_.jpg"
63,"https://images-na.ssl-images-amazon.com/images/I/51VNlzbfpXL._SX331_BO1,204,203,200_.jpg"
64,"https://images-na.ssl-images-amazon.com/images/I/41MYo5h2EkL._SX331_BO1,204,203,200_.jpg"
65,"https://images-na.ssl-images-amazon.com/images/I/415nnTThbHL._SX328_BO1,204,203,200_.jpg"
66,https://images-na.ssl-images-amazon.com/images/I/51IynUAgCIL._AA300_.jpg
67,"https://images-na.ssl-images-amazon.com/images/I/416X4TBvfGL._SX331_BO1,204,203,200_.jpg"
68,"https://images-na.ssl-images-amazon.com/images/I/51kQ2SNOHGL._SX375_BO1,204,203,200_.jpg"
69,"https://images-na.ssl-images-amazon.com/images/I/51HK4Oqtn5L._SX311_BO1,204,203,200_.jpg"
70,"https://images-na.ssl-images-amazon.com/images/I/51KfCikWiuL._SX333_BO1,204,203,200_.jpg"
71,https://images-na.ssl-images-amazon.com/images/I/81AfHGyMhaL._UX522_.jpg
72,https://images-na.ssl-images-amazon.com/images/I/81r0HQnct6L._UX522_.jpg
73,https://images-na.ssl-images-amazon.com/images/I/91MRSf8D26L._UX522_.jpg
74,https://images-na.ssl-images-amazon.com/images/I/811f3LJFIZL._UX522_.jpg
75,https://images-na.ssl-images-amazon.com/images/I/71tyPeCvW8L._UX342_.jpg
76,https://images-na.ssl-images-amazon.com/images/I/91nBjdnKuEL._UX522_.jpg
77,https://images-na.ssl-images-amazon.com/images/I/71H1TxFXrwL._UY679_.jpg
78,https://images-na.ssl-images-amazon.com/images/I/81YSK4Nhd8L._UX522_.jpg
79,https://images-na.ssl-images-amazon.com/images/I/61u-JFAM%2BAL._UY679_.jpg
80,https://images-na.ssl-images-amazon.com/images/I/91D8UUKmRPL._UX342_.jpg
81,https://images-na.ssl-images-amazon.com/images/I/91Ngz5aevDL._UX522_.jpg
82,https://images-na.ssl-images-amazon.com/images/I/61UknniVxNL._UY679_.jpg
83,https://images-na.ssl-images-amazon.com/images/I/A1eX4QvhYFL._UX522_.jpg
84,"https://images-na.ssl-images-amazon.com/images/I/51TwnsiiT8L._SX378_BO1,204,203,200_.jpg"
85,https://images-na.ssl-images-amazon.com/images/I/71f1ECdwqfL._UY445_.jpg
86,"https://images-na.ssl-images-amazon.com/images/I/51o3uan8dCL._SX421_BO1,204,203,200_.jpg"
87,https://images-na.ssl-images-amazon.com/images/I/61kBpEblgGL._UX522_.jpg
88,https://images-na.ssl-images-amazon.com/images/I/71UkUUkb4DL._UY575_.jpg
89,https://images-na.ssl-images-amazon.com/images/I/81n-Rq%2BKenL._UY575_.jpg
